zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,priceForHDP,taxAssessedValue,lotAreaValue,brokerName
2060821073,1500 Hornby St #1008,V6Z2R1,Vancouver,BC,49.274727,-123.1328,998800.0,2.0,2.0,1046.0,CONDO,998800.0,,0.0,Royal LePage Westside Brokerage
2080135465,1367 Alberni St #505,V6E4R9,Vancouver,BC,49.288353,-123.1279,595000.0,1.0,1.0,462.0,CONDO,595000.0,,0.0,Century 21 In Town Realty Brokerage
314388701,345 E 64th Ave,V5X2M8,Vancouver,BC,49.21286,-123.09919,1799000.0,4.0,5.0,2344.0,SINGLE_FAMILY,1799000.0,1522000.0,3920.4,LeHomes Realty Premier Brokerage
314407856,2647 E 21st Ave,V5M4E8,Vancouver,BC,49.251774,-123.05117,1890000.0,2.0,4.0,2368.0,SINGLE_FAMILY,1890000.0,1288000.0,3484.8,Oakwyn Realty Ltd. Brokerage
2061153244,863 W 16th Ave #403,V5Z1S9,Vancouver,BC,49.257305,-123.12372,880000.0,2.0,2.0,1016.0,CONDO,880000.0,,0.0,Oakwyn Realty Ltd. Brokerage
314422102,2666 E 53rd Ave,V5S1V9,Vancouver,BC,49.220867,-123.05333,4358000.0,8.0,11.0,4100.0,SINGLE_FAMILY,4358000.0,1776100.0,6098.4,RE/MAX City Realty Brokerage
314364878,1067 E 14th Ave,V5T2P1,Vancouver,BC,49.258114,-123.08204,1588000.0,2.0,5.0,2160.0,SINGLE_FAMILY,1588000.0,1578200.0,3484.8,Macdonald Realty Brokerage
314387359,705 E 60th Ave,V5X2A5,Vancouver,BC,49.21589,-123.09032,1648000.0,3.0,5.0,2413.0,SINGLE_FAMILY,1648000.0,1301900.0,3920.4,RE/MAX City Realty Brokerage
2060629231,930 Cambie St #2005,V6B5X6,Vancouver,BC,49.276672,-123.11659,799000.0,2.0,2.0,820.0,CONDO,799000.0,,0.0,Sutton Group-West Coast Realty Brokerage
314425686,1829 E 61st Ave,V5P2J9,Vancouver,BC,49.2148,-123.06933,1799000.0,3.0,5.0,2969.0,SINGLE_FAMILY,1799000.0,1465000.0,4791.6,Rennie & Associates Realty Ltd. Brokerage
2060753944,1199 Marinaside Cres #2101,V6Z2Y2,Vancouver,BC,49.273476,-123.119965,2350000.0,2.0,3.0,1400.0,CONDO,2350000.0,,0.0,Royal LePage Sussex Brokerage
